,"2,797,681","5,754,582","1,767,141","152,000,722","2,352,755","107,664,370","1,299,703","2,742,795","746,156","4,386,641","628,925","9,958,821","383,934","5,372,937","22,212","-137,645","72,248","216,851","26,317","374,856","1,029,713","97,904,430","20,253,282","873,069","88,322,814","3,116,347","1,030,787","96,938,473","5,454,422","33,366","135,053","2,267,901","19,675,617","2,164,862","19,623,933","350,151","562,770","1,381,302"
"Under $10,000        ","1,705","2,164",279,"2,250","1,152","6,835",591,555,448,769,382,-186,200,640,10,19,14,26,--        ,--             ,117,657,"2,086",70,404,72,175,"-3,310",664,--        ,--             ,400,71,529,212,319,253,687
"$10,000 under $25,000","1,814","2,803",623,"31,256","1,332","21,837",752,"1,098",470,"1,223",366,175,258,"1,831",*         ,*              ,39,113,*         ,*              ,336,"6,012","5,216",254,"4,611",403,330,"5,907","1,040",--        ,--             ,"1,420","1,257","1,370","1,469",272,613,832
"$25,000 under $50,000","2,278","4,183","1,144","83,845","1,831","62,054","1,188","1,908",730,"2,505",639,418,336,"3,777",--        ,--             ,96,274,20,79,823,"31,565","13,614",673,"25,953","1,364",815,"31,254","2,986",--        ,--             ,"2,207","6,342","2,041","6,387",102,98,"1,075"
"$50,000 under $75,000","1,700","3,640",997,"105,756","1,378","75,192","1,174","1,843",844,"3,191",662,"1,143",287,"3,583",--        ,--             ,67,217,24,199,"1,036","64,952","18,463",920,"57,680","2,212","1,030","64,594","4,496",13,6,"1,688","10,536","1,653","10,349",--        ,--             ,788
"$75,000 under $100,000","1,350","3,286",950,"116,555","1,149","87,826","1,077","1,847",848,"3,532",678,"1,588",235,"2,986",*         ,*              ,55,185,23,207,958,"83,006","19,460",869,"75,388","2,544",955,"82,738","4,722",*         ,*              ,"1,345","13,198","1,339","12,852",--        ,--             ,588
"$100,000 or more     ","2,461","6,757","2,226","526,818","2,205","355,393","2,198","8,856","1,900","24,230","1,686","46,294",479,"16,839",*         ,*              ,120,464,107,"1,703","2,036","422,739","57,621","1,900","402,554","12,507","2,031","422,149","16,523",246,"1,035","2,460","103,876","2,458","104,666",--        ,--             ,"1,212"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98009,814,"1,361",273,"387,400",571,"42,910",506,"15,288",381,"15,650",350,"56,753",193,-510,*         ,*              ,38,126,23,258,379,"281,440","25,047",333,"278,249","10,102",387,"368,771","5,987",60,749,683,"90,322",683,"90,691",48,40,438
"Under $10,000        ",129,181,33,"-1,014",72,673,53,43,39,65,42,-19,33,-57,--        ,--             ,--        ,--             ,--        ,--             ,12,63,332,*         ,*              ,*              ,24,"-1,116",160,--        ,--             ,21,4,41,22,30,18,55
"$10,000 under $25,000",116,146,15,"2,085",85,"1,353",51,27,27,75,19,-14,34,257,--        ,--             ,*         ,*              ,--        ,--             ,16,289,292,17,217,27,14,250,37,--        ,--             ,103,104,95,142,18,22,47
