,"2,797,681","5,754,582","1,767,141","152,000,722","2,352,755","107,664,370","1,299,703","2,742,795","746,156","4,386,641","628,925","9,958,821","383,934","5,372,937","22,212","-137,645","72,248","216,851","26,317","374,856","1,029,713","97,904,430","20,253,282","873,069","88,322,814","3,116,347","1,030,787","96,938,473","5,454,422","33,366","135,053","2,267,901","19,675,617","2,164,862","19,623,933","350,151","562,770","1,381,302"
"$100,000 or more     ",10,22,4,"1,642",*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,10,271,10,283,--        ,--             ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99214,669,"1,155",267,"27,477",526,"17,406",288,727,127,218,112,330,101,695,--        ,--             ,17,50,*         ,*              ,197,"12,694","2,876",150,"10,164",303,199,"12,594",731,*         ,*              ,528,"3,434",513,"3,499",102,143,343
"Under $10,000        ",123,162,29,323,75,439,27,16,16,18,16,-12,22,21,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,24,3,38,14,38,29,58
"$10,000 under $25,000",189,300,73,"3,295",145,"2,406",65,115,28,79,21,14,26,160,--        ,--             ,*         ,*              ,--        ,--             ,37,650,420,26,497,79,39,550,121,--        ,--             ,150,124,133,135,49,104,88
"$25,000 under $50,000",189,320,73,"6,784",165,"5,378",78,135,27,15,24,34,27,44,--        ,--             ,17,50,--        ,--             ,68,"2,578",811,46,"1,710",51,68,"2,578",203,--        ,--             ,188,547,177,548,15,10,92
"$50,000 under $75,000",97,189,35,"5,917",80,"4,241",61,213,25,13,23,4,10,3,--        ,--             ,*         ,*              ,--        ,--             ,49,"2,977",838,38,"2,308",71,49,"2,977",178,--        ,--             ,95,614,94,607,--        ,--             ,60
"$75,000 under $100,000",41,107,33,"3,499",36,"2,559",31,80,14,25,12,20,16,467,--        ,--             ,--        ,--             ,--        ,--             ,27,"2,323",440,25,"2,161",53,27,"2,323",131,*         ,*              ,41,414,41,426,--        ,--             ,21
"$100,000 or more     ",30,77,24,"7,659",25,"2,383",26,168,17,68,16,270,*         ,*              ,--        ,--             ,--        ,--             ,*         ,*              ,16,"4,166",367,15,"3,488",49,16,"4,166",98,*         ,*              ,30,"1,732",30,"1,769",--        ,--             ,24
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99215,61,115,30,"2,811",56,"2,023",24,13,*         ,*              ,10,-4,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,19,"1,071",216,*         ,*              ,*              ,20,"1,411",65,--        ,--             ,52,249,51,247,*         ,*              ,39
"Under $10,000        ",*         ,*         ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,11
"$10,000 under $25,000",23,27,3,315,20,253,10,10,*         ,*              ,10,-4,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,16,15,15,16,--        ,--             ,*         
"$25,000 under $50,000",26,60,21,"1,161",25,933,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,25,98,25,94,*         ,*              ,13
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,14,3,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,19,"1,071",216,*         ,*              ,*              ,20,"1,411",65,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--             ,15
"$75,000 under $100,000",12,28,6,"1,335",11,837,*         ,*              ,--        ,--             ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,11,136,11,137,--        ,--             ,*         
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--             ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99216,"9,623","19,051","5,571","341,037","8,136","266,769","3,807","5,539","1,792","3,956","1,559","8,208","1,085","8,083",19,-34,208,543,30,221,"2,498","151,134","35,809","2,090","133,577","5,967","2,496","148,500","8,478",30,45,"7,641","32,833","7,137","31,396","1,556","2,538","4,169"
"Under $10,000        ","1,859","2,445",414,"5,433","1,463","8,234",436,450,223,278,221,-69,170,51,*         ,*              ,*         ,*              ,--        ,--             ,66,379,757,43,258,44,89,"-1,328",226,--        ,--             ,455,78,574,190,525,577,673
"$10,000 under $25,000","2,802","4,586","1,199","48,318","2,253","37,036",827,"1,143",372,713,322,173,248,"1,327",*         ,*              ,37,81,*         ,*              ,311,"5,675","3,749",238,"4,343",460,305,"5,572",689,--        ,--             ,"2,255","1,906","2,000","1,916",707,"1,697","1,214"
"$25,000 under $50,000","2,665","5,677","1,832","96,184","2,342","78,535","1,067","1,298",470,833,374,551,299,"1,679",*         ,*              ,74,179,17,48,844,"32,224","10,411",659,"25,242","1,234",828,"31,608","2,258",--        ,--             ,"2,635","6,965","2,297","6,250",324,264,"1,163"
"$50,000 under $75,000","1,398","3,819","1,298","85,525","1,271","70,117",802,811,364,678,303,814,206,"1,264",19,-34,58,153,--        ,--             ,715,"44,180","10,344",624,"38,553","1,608",713,"44,050","2,557",*         ,*              ,"1,397","7,931","1,369","7,114",--        ,--             ,650
"$75,000 under $100,000",561,"1,600",533,"47,936",516,"39,436",395,375,197,360,168,509,85,"1,238",*         ,*              ,20,58,*         ,*              ,334,"28,681","5,413",308,"26,500",898,333,"28,603","1,407",*         ,*              ,561,"5,422",559,"5,213",--        ,--             ,272
"$100,000 or more     ",338,924,295,"57,641",291,"33,411",280,"1,462",166,"1,094",171,"6,230",77,"2,524",*         ,*              ,19,72,13,173,228,"39,995","5,135",218,"38,681","1,723",228,"39,995","1,341",30,45,338,"10,531",338,"10,713",--        ,--             ,197
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99217,"6,685","13,813","4,410","254,766","5,847","197,512","2,505","3,433","1,146","2,742","1,016","7,494",868,"8,669",54,-173,153,415,35,483,"1,699","123,099","27,073","1,393","108,336","4,158","1,693","122,070","7,041",45,110,"5,154","26,857","4,787","26,410","1,301","2,264","3,205"
"Under $10,000        ","1,349","1,881",406,"5,670","1,091","5,799",285,193,133,96,121,-63,156,173,*         ,*              ,*         ,*              ,--        ,--             ,48,273,552,30,168,29,54,-210,130,--        ,--             ,292,48,409,150,457,486,562
"$10,000 under $25,000","1,940","3,544","1,148","33,162","1,663","26,869",485,621,196,263,169,100,181,"1,189",*         ,*              ,22,37,*         ,*              ,195,"3,477","2,290",137,"2,440",219,194,"3,461",532,--        ,--             ,"1,487","1,239","1,293","1,289",613,"1,584",934
"$25,000 under $50,000","1,832","4,124","1,467","65,701","1,660","55,530",667,515,264,295,211,298,225,"1,718",17,77,40,77,*         ,*              ,525,"19,858","6,376",410,"15,565",763,517,"19,576","1,430",--        ,--             ,"1,811","4,656","1,546","4,168",231,194,871
"$50,000 under $75,000",834,"2,217",724,"50,905",766,"41,968",499,498,220,464,181,697,136,992,10,28,45,117,20,92,393,"24,202","5,746",333,"20,600",763,391,"24,089","1,420",*         ,*              ,834,"4,741",812,"4,339",--        ,--             ,388
"$75,000 under $100,000",389,"1,113",370,"33,408",362,"27,340",273,406,141,320,128,406,74,818,15,-162,16,56,*         ,*              ,263,"22,727","4,627",226,"19,586",597,263,"22,727","1,260",*         ,*              ,389,"3,654",386,"3,520",--        ,--             ,223
"$100,000 or more     ",341,934,295,"65,920",305,"40,006",296,"1,200",192,"1,304",206,"6,056",96,"3,779",12,-116,30,128,15,391,275,"52,562","7,482",257,"49,977","1,787",274,"52,427","2,269",45,110,341,"12,519",341,"12,944",--        ,--             ,227
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99218,"5,614","11,599","3,454","274,762","4,437","176,959","2,878","5,863","1,665","6,831","1,467","23,217",739,"13,109",*         ,*              ,147,494,53,738,"1,970","162,575","34,518","1,784","153,545","6,683","1,969","160,050","8,779",50,214,"4,443","33,055","4,244","32,976",640,"1,103","2,697"
"Under $10,000        ","1,128","1,432",199,"3,254",891,"5,332",346,426,203,317,191,-175,82,230,--        ,--             ,*         ,*              ,--        ,--             ,49,289,718,40,248,62,69,"-1,149",271,--        ,--             ,295,50,346,105,211,244,420
"$10,000 under $25,000","1,412","2,257",554,"24,047","1,041","16,692",499,875,269,602,220,96,123,830,*         ,*              ,19,47,--        ,--             ,192,"3,366","2,844",151,"2,693",375,186,"3,281",444,--        ,--             ,"1,107",920,"1,004",962,321,765,662
"$25,000 under $50,000","1,175","2,488",789,"42,915",921,"30,661",603,954,320,937,265,419,164,"1,789",*         ,*              ,49,171,*         ,*              ,402,"15,649","5,728",345,"13,468",899,398,"15,488","1,262",--        ,--             ,"1,147","3,012","1,033","2,915",108,94,577
"$50,000 under $75,000",834,"2,306",836,"51,388",679,"36,658",562,954,296,761,258,561,177,"2,061",--        ,--             ,33,94,17,84,514,"31,730","8,153",466,"28,780","1,387",507,"31,307","1,982",*         ,*              ,832,"4,607",800,"4,293",--        ,--             ,411
"$75,000 under $100,000",530,"1,563",542,"45,723",456,"33,101",401,859,253,831,217,942,85,"1,414",*         ,*              ,26,94,11,77,388,"33,597","7,076",372,"32,211","1,372",385,"33,337","1,795",*         ,*              ,528,"4,802",527,"4,604",--        ,--             ,282
"$100,000 or more     ",535,"1,553",534,"107,435",449,"54,515",467,"1,795",324,"3,383",316,"21,374",108,"6,785",*         ,*              ,20,88,25,577,425,"77,944","9,999",410,"76,145","2,588",424,"77,786","3,025",50,214,534,"19,664",534,"20,097",--        ,--             ,345
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99219,170,333,89,"11,732",141,"6,605",74,147,20,34,34,904,28,-77,*         ,*              ,*         ,*              ,--        ,--             ,67,"6,511","1,336",49,"4,990",163,67,"6,442",291,*         ,*              ,139,"1,732",137,"1,745",21,29,88
"Under $10,000        ",27,38,8,92,15,85,11,9,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,*         ,*              ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,*         ,*              ,13,6,11,9,15
"$10,000 under $25,000",31,52,15,527,23,523,*         ,*              ,*         ,*              ,*         ,*              ,17,-12,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,30,21,20,27,10,20,15
"$25,000 under $50,000",46,83,22,"1,764",43,"1,517",25,4,*         ,*              ,19,6,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,26,821,272,18,572,32,26,752,63,--        ,--             ,44,154,39,144,*         ,*              ,20
"$50,000 under $75,000",30,70,20,"1,844",30,"1,626",22,14,20,34,*         ,*              ,11,-65,--        ,--             ,*         ,*              ,--        ,--             ,24,"1,666",406,17,"1,200",39,24,"1,666",84,--        ,--             ,30,179,30,168,--        ,--             ,23
"$75,000 under $100,000",14,30,4,"1,175",12,992,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,14,135,14,136,--        ,--             ,*         
"$100,000 or more     ",22,60,20,"6,330",18,"1,862",16,120,*         ,*              ,15,898,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,17,"4,024",658,14,"3,218",92,17,"4,024",144,*         ,*              ,21,"1,243",21,"1,264",--        ,--             ,15
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99220,276,496,139,"14,590",225,"8,662",125,536,67,432,69,957,33,41,--        ,--             ,--        ,--             ,--        ,--             ,82,"8,329","1,500",63,"7,267",172,82,"8,302",373,*         ,*              ,209,"2,251",206,"2,295",51,81,163
"Under $10,000        ",61,78,13,135,44,299,22,32,12,11,12,-19,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,14,207,189,*         ,*              ,*              ,14,180,24,--        ,--             ,13,2,23,9,24,21,33
"$10,000 under $25,000",76,136,43,"1,290",61,"1,005",25,9,10,6,18,2,19,97,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,58,45,51,60,27,60,39
"$25,000 under $50,000",64,120,40,"2,244",58,"1,887",24,50,11,17,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,20,757,256,22,652,29,20,757,53,--        ,--             ,63,176,57,160,*         ,*              ,38
"$50,000 under $75,000",27,60,18,"1,608",23,"1,215",12,8,10,18,15,58,14,-56,--        ,--             ,--        ,--             ,--        ,--             ,14,844,244,12,720,8,14,844,54,--        ,--             ,27,160,27,172,--        ,--             ,13
"$75,000 under $100,000",18,35,7,"1,522",16,"1,204",15,6,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,12,"1,011",208,10,849,7,12,"1,011",70,--        ,--             ,18,189,18,184,--        ,--             ,15
"$100,000 or more     ",30,67,18,"7,791",23,"3,052",27,431,24,380,24,916,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,22,"5,510",603,19,"5,046",128,22,"5,510",172,*         ,*              ,30,"1,679",30,"1,710",--        ,--             ,25
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99223,"13,058","27,347","8,169","831,740","10,491","550,776","7,192","20,688","4,700","23,419","4,239","48,896","2,143","38,095",43,-137,438,"1,413",214,"3,291","5,371","569,297","102,679","4,843","539,221","20,619","5,365","563,558","27,460",231,833,"10,712","122,267","10,375","123,288","1,194","1,806","6,593"
"Under $10,000        ","2,466","3,016",365,"6,680","1,822","9,994",813,836,611,896,553,-40,247,23,*         ,*              ,14,40,--        ,--             ,146,844,"1,973",110,662,120,182,"-2,409",508,--        ,--             ,690,131,846,280,424,419,"1,040"
"$10,000 under $25,000","2,542","3,976",914,"43,705","1,956","32,202",924,"1,232",515,"1,278",459,111,304,"2,154",*         ,*              ,41,103,13,47,420,"7,527","5,776",333,"5,959",639,410,"7,362","1,007",--        ,--             ,"2,056","1,769","1,883","1,962",524,"1,193","1,184"
"$25,000 under $50,000","2,766","5,565","1,655","101,226","2,262","76,183","1,380","2,274",772,"2,176",663,637,430,"3,528",26,-94,111,300,*         ,*              ,"1,042","39,595","14,371",854,"32,721","1,791","1,031","39,230","3,078",--        ,--             ,"2,696","7,347","2,415","6,999",246,194,"1,358"
"$50,000 under $75,000","2,045","5,177","1,722","126,045","1,700","91,178","1,337","2,770",812,"2,883",711,"1,615",394,"4,860",*         ,*              ,111,358,26,141,"1,218","75,912","19,183","1,109","69,205","2,902","1,208","75,263","4,798",12,14,"2,034","11,965","1,999","11,396",--        ,--             ,"1,020"
"$75,000 under $100,000","1,199","3,334","1,129","103,150","1,007","75,544",906,"1,950",583,"2,513",526,"2,665",241,"4,038",*         ,*              ,67,240,29,282,858,"74,035","15,313",808,"69,746","2,745",855,"73,788","3,933",*         ,*              ,"1,196","11,289","1,193","11,016",--        ,--             ,615
"$100,000 or more     ","2,040","6,279","2,384","450,934","1,744","265,675","1,832","11,626","1,407","13,673","1,327","43,908",527,"23,492",17,-43,94,372,146,"2,821","1,687","371,384","46,063","1,629","360,928","12,422","1,679","370,324","14,136",219,819,"2,040","89,766","2,039","91,635",--        ,--             ,"1,376"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99224,"5,898","11,825","3,134","309,187","4,866","225,482","2,981","5,762","1,662","4,871","1,565","14,585",857,"8,963",142,"-1,058",176,539,59,640,"1,992","185,508","36,156","1,726","171,049","6,434","2,001","183,733","9,421",71,226,"4,801","41,216","4,640","41,253",638,979,"2,932"
"Under $10,000        ","1,049","1,360",195,"2,444",761,"4,310",300,331,189,371,192,1,94,358,17,-154,*         ,*              ,*         ,*              ,42,230,502,27,152,28,65,-822,195,--        ,--             ,255,38,329,148,261,249,456
"$10,000 under $25,000","1,369","2,187",476,"23,464","1,076","17,078",441,660,250,424,225,65,134,965,18,-101,27,61,17,86,150,"2,768","2,091",109,"2,012",246,147,"2,722",371,--        ,--             ,"1,087",922,"1,014","1,009",270,642,639
"$25,000 under $50,000","1,452","2,919",796,"53,360","1,225","40,949",732,917,338,651,307,511,223,"1,694",25,-150,59,168,*         ,*              ,455,"17,453","6,153",359,"13,873",768,449,"17,204","1,305",--        ,--             ,"1,432","3,933","1,298","3,806",107,88,709
"$50,000 under $75,000",891,"2,227",672,"54,850",783,"43,107",596,878,297,612,277,808,155,"1,230",41,-274,43,125,14,98,488,"30,329","7,464",429,"26,694","1,094",487,"30,278","1,833",--        ,--             ,890,"5,207",865,"4,921",--        ,--             ,456
"$75,000 under $100,000",526,"1,421",436,"45,337",475,"35,031",383,568,208,721,203,970,112,"1,697",20,-66,28,96,*         ,*              ,374,"32,384","6,627",339,"29,391",954,371,"32,114","1,742",*         ,*              ,526,"5,033",525,"4,923",--        ,--             ,261
"$100,000 or more     ",611,"1,711",559,"129,732",546,"85,007",529,"2,408",380,"2,092",361,"12,230",139,"3,019",21,-313,19,89,28,456,483,"102,344","13,319",463,"98,927","3,344",482,"102,237","3,975",71,226,611,"26,083",609,"26,446",--        ,--             ,411
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99228,625,"1,179",314,"28,499",489,"17,583",311,807,179,478,142,"1,570",108,"1,488",--        ,--             ,17,65,*         ,*              ,223,"15,810","4,131",178,"13,879",648,221,"15,744",858,*         ,*              ,506,"3,266",492,"3,368",74,117,317
"Under $10,000        ",113,151,30,488,80,412,31,25,29,26,16,16,10,31,--        ,--             ,--        ,--             ,--        ,--             ,12,73,242,*         ,*              ,*              ,12,73,20,--        ,--             ,25,4,37,16,36,36,56
"$10,000 under $25,000",133,209,55,"2,282",99,"1,657",39,38,22,87,17,-16,25,263,--        ,--             ,--        ,--             ,--        ,--             ,24,406,345,21,287,33,23,396,44,--        ,--             ,104,93,95,124,28,71,62
"$25,000 under $50,000",178,333,89,"6,218",141,"4,455",92,108,41,106,33,50,31,374,--        ,--             ,*         ,*              ,--        ,--             ,61,"2,174",832,42,"1,498",78,61,"2,174",187,--        ,--             ,177,441,164,456,10,10,89
"$50,000 under $75,000",114,266,78,"6,891",100,"5,212",78,93,44,59,34,70,29,442,--        ,--             ,17,65,--        ,--             ,61,"3,715",923,57,"3,482",143,60,"3,659",196,--        ,--             ,113,672,110,668,--        ,--             ,55
"$75,000 under $100,000",43,109,31,"3,757",38,"2,864",31,25,12,15,11,-18,*         ,*              ,--        ,--             ,*         ,*              ,--        ,--             ,32,"2,775",623,31,"2,689",103,32,"2,775",136,--        ,--             ,43,423,43,414,--        ,--             ,21
"$100,000 or more     ",44,111,31,"8,863",31,"2,983",40,518,31,185,31,"1,468",13,378,--        ,--             ,*         ,*              ,*         ,*              ,33,"6,667","1,166",27,"5,923",291,33,"6,667",275,*         ,*              ,44,"1,633",43,"1,690",--        ,--             ,34
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99251,45,47,0,260,42,270,*         ,*              ,*         ,*              ,--        ,--             ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,19,8,15,3,--        ,--             ,*         
"Under $10,000        ",45,47,0,260,42,270,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,19,8,15,3,--        ,--             ,*         
"$10,000 under $25,000",*         ,*         ,*         ,*              ,*         ,*              ,--        ,--             ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--             ,*         
"$25,000 under $50,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        
"$50,000 under $75,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        
"$75,000 under $100,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        
"$100,000 or more     ",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99258,82,84,2,578,79,572,13,0,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,44,20,39,20,*         ,*              ,*         
"Under $10,000        ",66,67,1,323,64,326,13,0,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,28,5,27,5,*         ,*              ,*         
"$10,000 under $25,000",16,17,1,255,15,246,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,16,15,12,15,--        ,--             ,*         
"$25,000 under $50,000",*         ,*         ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--             ,--        
"$50,000 under $75,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        
"$75,000 under $100,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        
"$100,000 or more     ",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99301,"18,922","48,420","20,817","755,742","16,975","607,327","7,283","9,946","2,526","6,290","2,202","20,875","2,162","23,747",278,8,364,"1,152",81,"1,280","4,910","361,706","77,829","4,070","317,101","14,034","4,898","357,784","20,162",100,270,"14,312","75,378","11,986","71,915","4,025","8,035","11,420"
"Under $10,000        ","3,201","5,035","1,509","8,531","2,635","15,034",691,500,268,241,239,101,286,527,39,"-2,348",*         ,*              ,--        ,--             ,80,482,"1,099",61,375,86,105,"-1,818",312,--        ,--             ,656,101,858,315,"1,060","1,511","1,779"
"$10,000 under $25,000","5,553","13,546","6,646","95,856","4,936","81,759","1,150","1,177",320,459,246,143,416,"3,163",21,170,43,93,*         ,*              ,416,"7,726","4,796",291,"5,402",567,408,"7,608",968,--        ,--             ,"3,632","2,540","2,569","2,526","2,143","5,770","3,687"
"$25,000 under $50,000","5,055","14,886","7,083","181,754","4,697","158,230","1,864","1,511",506,739,423,604,623,"4,468",75,-106,115,288,17,120,"1,286","49,661","16,518",950,"36,841","1,986","1,268","48,930","3,994",--        ,--             ,"4,913","11,153","3,551","9,008",822,754,"3,081"
"$50,000 under $75,000","2,615","7,531","2,928","159,937","2,421","137,170","1,578","1,664",503,"1,048",448,"1,081",396,"2,700",47,376,82,244,*         ,*              ,"1,348","83,618","19,815","1,135","70,480","3,022","1,341","83,194","4,840",13,10,"2,614","14,862","2,515","13,127",--        ,--             ,"1,432"
