Total,"2,860,825","5,865,799","1,794,371","166,580,039","2,412,365","114,046,697","1,368,475","3,528,026","748,124","3,862,773","651,545","14,886,748","403,776","5,996,877","23,232","-157,511","73,677","264,541","27,138","415,068","1,067,582","109,369,624","22,529,755","899,373","98,569,012","3,435,488","1,063,234","107,890,387","5,925,136","47,972","187,582","2,337,779","22,076,820","2,234,434","22,075,876","346,390","585,289","1,422,842"
99224,"6,470","13,013","3,448","374,959","5,420","263,468","3,325","7,351","1,818","5,971","1,781","23,062","1,016","10,780",142,"-1,117",223,796,68,796,"2,318","232,854","45,322","1,989","214,580","7,881","2,316","230,569","12,258",105,375,"5,343","51,540","5,188","51,505",679,"1,010","3,159"
"Under $10,000        ","1,053","1,362",206,"2,161",811,"4,559",267,403,172,378,180,-32,132,-132,16,-115,*         ,*              ,11,46,44,276,724,27,188,37,66,"-1,070",251,0,0,240,37,324,109,271,248,441
"$10,000 under $25,000","1,434","2,212",470,"24,877","1,140","18,826",457,658,221,373,205,186,140,853,13,-65,23,37,0,0,157,"2,907","2,111",103,"1,902",226,148,"2,747",333,0,0,"1,159","1,014","1,077","1,072",272,634,657
"$25,000 under $50,000","1,576","3,111",817,"57,521","1,335","44,180",789,"1,044",371,755,336,636,237,"1,623",30,-251,74,251,*         ,*              ,477,"18,415","6,834",373,"14,479",757,467,"18,035","1,526",0,0,"1,541","4,097","1,419","3,925",136,128,735
"$50,000 under $75,000","1,004","2,442",706,"61,856",880,"47,261",650,851,336,861,336,"1,281",195,"1,740",30,-153,54,176,15,114,554,"34,464","9,056",476,"29,611","1,311",552,"34,337","2,213",*         ,*              ,"1,002","5,700",973,"5,460",0,0,495
"$75,000 under $100,000",573,"1,598",529,"49,557",516,"38,937",417,763,227,591,224,"1,195",117,"1,456",22,-244,36,142,*         ,*              ,405,"35,214","7,653",362,"31,521","1,004",402,"34,942","2,039",*         ,*              ,571,"5,261",568,"5,041",0,0,270
"$100,000 or more     ",830,"2,288",720,"178,987",738,"109,705",745,"3,632",491,"3,013",500,"19,796",195,"5,240",31,-289,36,190,42,636,681,"141,578","18,944",648,"136,879","4,546",681,"141,578","5,896",105,375,830,"35,431",827,"35,898",0,0,561
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99228,684,"1,319",345,"36,785",544,"22,218",355,"1,135",189,948,180,"2,890",114,"1,179",*         ,*              ,21,106,*         ,*              ,253,"19,403","5,312",210,"17,623",790,259,"19,281","1,168",11,15,570,"4,583",554,"4,652",79,121,359
"Under $10,000        ",96,134,23,349,65,492,34,40,22,16,22,-12,20,-60,0,0,0,0,0,0,12,57,388,*         ,*              ,*              ,19,0,62,0,0,15,3,25,19,28,24,54
"$10,000 under $25,000",148,229,59,"2,553",119,"1,867",49,51,23,78,27,25,26,227,0,0,*         ,*              ,0,0,19,350,253,19,279,24,19,346,35,0,0,124,104,115,125,35,87,72
"$25,000 under $50,000",175,315,80,"6,225",145,"4,570",87,109,39,140,31,211,30,325,*         ,*              ,*         ,*              ,*         ,*              ,68,"2,487","1,112",47,"1,768",109,68,"2,487",210,0,0,169,437,156,443,16,10,87
"$50,000 under $75,000",132,302,86,"7,985",108,"5,902",77,178,39,76,34,325,24,325,0,0,21,106,0,0,62,"3,782","1,138",58,"3,508",129,61,"3,721",260,0,0,131,748,127,725,0,0,69
"$75,000 under $100,000",65,157,42,"5,626",52,"3,882",49,162,27,202,25,168,*         ,*              ,0,0,*         ,*              ,0,0,44,"3,797",943,39,"3,376",111,44,"3,797",204,0,0,63,618,63,617,0,0,29
"$100,000 or more     ",68,182,55,"14,047",55,"5,505",59,595,39,436,41,"2,173",14,362,0,0,*         ,*              ,0,0,48,"8,930","1,478",47,"8,692",417,48,"8,930",397,11,15,68,"2,673",68,"2,723",0,0,48
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99251,46,46,0,306,43,306,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,24,10,0,0,*         
"Under $10,000        ",46,46,0,306,43,306,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,24,10,0,0,*         
"$10,000 under $25,000",*         ,*         ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*         ,*              ,*         ,*              ,0,0,*         
"$25,000 under $50,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"$50,000 under $75,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"$100,000 or more     ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99258,87,92,2,743,82,686,10,2,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,40,39,35,0,0,11
"Under $10,000        ",70,71,1,302,66,305,10,2,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,26,4,0,0,11
"$10,000 under $25,000",17,21,1,441,16,381,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,36,13,31,0,0,*         
"$25,000 under $50,000",*         ,*         ,*         ,*              ,*         ,*              ,0,0,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*         ,*              ,*         ,*              ,0,0,0
"$50,000 under $75,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"$100,000 or more     ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99301,"20,175","52,198","22,867","835,580","18,150","662,016","7,888","12,790","2,603","8,731","2,347","31,041","2,348","24,596",314,"-1,290",340,"1,309",88,"1,354","5,343","404,752","88,105","4,342","350,788","15,572","5,308","397,754","21,727",129,358,"15,346","83,695","12,843","80,040","4,250","8,789","12,323"
"Under $10,000        ","3,093","4,960","1,537","3,114","2,593","15,012",668,560,238,203,234,399,300,-567,40,"-2,613",*         ,*              ,*         ,*              ,65,364,861,45,263,52,97,"-3,451",272,*         ,*              ,568,97,793,323,"1,052","1,529","1,717"
"$10,000 under $25,000","5,860","14,150","6,969","101,651","5,229","87,485","1,189","1,150",307,396,251,218,507,"3,633",28,-100,53,155,*         ,*              ,423,"7,887","5,297",278,"5,195",518,409,"7,635",912,0,0,"3,775","2,624","2,761","2,660","2,214","6,137","3,890"
"$25,000 under $50,000","5,594","16,584","8,147","200,674","5,151","174,580","2,088","1,825",525,865,445,713,617,"4,421",76,418,106,349,13,81,"1,392","53,453","18,049","1,011","38,753","2,230","1,366","52,463","3,917",0,0,"5,384","11,843","3,795","9,498",984,"1,123","3,520"
"$50,000 under $75,000","2,876","8,373","3,336","175,786","2,661","148,320","1,719","1,811",527,"1,035",487,"1,486",445,"3,843",48,69,75,249,10,94,"1,488","92,239","22,701","1,237","76,814","3,411","1,471","91,170","5,293",*         ,*              ,"2,870","15,926","2,749","14,093",0,0,"1,606"
"$75,000 under $100,000","1,439","4,264","1,547","123,990","1,341","102,910","1,081","1,666",402,625,364,"1,869",223,"2,732",49,-77,43,177,10,99,983,"85,094","17,297",850,"73,621","2,952",975,"84,443","4,426",14,16,"1,437","13,320","1,433","12,582",0,0,771
"$100,000 or more     ","1,313","3,867","1,331","230,365","1,175","133,709","1,143","5,778",604,"5,607",566,"26,356",256,"10,534",73,"1,013",63,379,55,"1,080",992,"165,715","23,900",921,"156,142","6,409",990,"165,494","6,907",115,342,"1,312","39,885","1,312","40,884",0,0,819
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99302,"1,026","2,500","1,096","42,068",905,"31,504",363,902,123,339,138,"3,239",149,"1,269",*         ,*              ,24,102,*         ,*              ,247,"20,018","4,596",199,"17,630",804,244,"19,528","1,103",11,52,796,"4,272",677,"4,200",246,490,679
"Under $10,000        ",150,248,74,-207,115,910,38,21,*         ,*              ,12,-16,37,-4,*         ,*              ,0,0,*         ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,10,-263,11,0,0,23,4,49,41,64,85,99
"$10,000 under $25,000",315,756,389,"5,654",283,"4,830",52,85,21,12,14,46,27,200,0,0,0,0,0,0,31,467,369,18,302,44,22,434,63,0,0,220,161,148,154,135,352,209
"$25,000 under $50,000",313,833,398,"11,197",288,"9,616",103,168,31,35,35,70,35,209,*         ,*              ,10,31,0,0,57,"2,172",736,45,"1,737",63,55,"2,093",159,0,0,306,742,235,621,47,53,200
"$50,000 under $75,000",120,304,109,"7,385",107,"5,906",66,99,24,102,23,144,30,306,*         ,*              ,14,71,*         ,*              ,67,"4,149","1,036",54,"3,351",144,65,"4,034",231,0,0,120,708,118,669,0,0,79
"$75,000 under $100,000",55,162,68,"4,764",50,"3,866",44,22,10,2,10,93,*         ,*              ,*         ,*              ,*         ,*              ,0,0,39,"3,406",759,31,"2,710",112,39,"3,406",168,0,0,55,525,54,512,0,0,32
"$100,000 or more     ",73,197,58,"13,275",62,"6,376",60,507,37,188,44,"2,902",20,558,*         ,*              ,*         ,*              ,0,0,53,"9,824","1,696",51,"9,530",441,53,"9,824",471,11,52,72,"2,132",73,"2,203",0,0,60
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99320,"3,541","8,244","2,917","163,046","3,174","135,880","1,620","1,596",487,668,444,"3,014",438,"2,256",230,-455,60,187,*         ,*              ,"1,131","79,819","17,867",909,"67,263","2,653","1,127","79,375","4,259",20,27,"2,858","17,013","2,639","16,321",533,"1,002","1,704"
"Under $10,000        ",569,832,195,"1,980",478,"2,684",149,147,49,31,47,-57,54,-251,18,-161,*         ,*              ,0,0,15,88,136,*         ,*              ,*              ,20,14,30,0,0,141,24,174,71,175,208,226
"$10,000 under $25,000",757,"1,485",529,"12,864",632,"10,241",227,170,64,66,46,46,66,472,21,-187,*         ,*              ,0,0,85,"1,484",990,65,"1,036",110,84,"1,473",187,0,0,528,382,464,416,251,663,374
"$25,000 under $50,000",890,"2,194",872,"32,930",805,"27,689",335,272,114,155,98,263,111,239,47,-411,28,82,0,0,264,"10,302","3,538",192,"7,525",351,258,"10,090",729,0,0,865,"2,214",712,"1,926",107,131,463
"$50,000 under $75,000",650,"1,818",681,"40,430",613,"36,213",375,209,85,113,86,289,104,423,58,-52,13,46,*         ,*              ,324,"20,201","5,064",259,"16,242",749,323,"20,151","1,246",*         ,*              ,649,"3,759",616,"3,376",0,0,320
"$75,000 under $100,000",393,"1,139",403,"33,738",375,"29,291",292,392,88,145,75,560,52,435,47,-134,19,59,*         ,*              ,247,"21,396","4,250",212,"18,424",708,246,"21,299","1,050",*         ,*              ,393,"3,700",391,"3,499",0,0,179
"$100,000 or more     ",282,776,237,"41,104",271,"29,762",242,406,87,158,92,"1,913",51,938,39,490,*         ,*              ,*         ,*              ,196,"26,348","3,889",181,"24,036",735,196,"26,348","1,017",20,27,282,"6,934",282,"7,033",0,0,142
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99321,230,778,422,"6,373",221,"5,622",34,11,*         ,*              ,*         ,*              ,10,-25,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,126,434,68,414,51,124,143
"Under $10,000        ",31,71,39,186,29,190,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*         ,*              ,*         ,*              ,15,27,17
"$10,000 under $25,000",118,437,255,"2,033",114,"1,922",17,6,*         ,*              ,0,0,10,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,19,22,12,36,97,76
"$25,000 under $50,000",56,216,114,"1,831",55,"1,681",*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,54,73,21,53,*         ,*              ,34
"$50,000 under $75,000",12,18,2,693,11,529,17,5,0,0,*         ,*              ,*         ,*              ,0,0,0,0,0,0,*         ,*              ,*              ,0,0,0,*         ,*              ,*              ,0,0,12,89,12,97,0,0,16
"$75,000 under $100,000",13,36,12,"1,630",12,"1,300",*         ,*              ,*         ,*              ,0,0,*         ,*              ,0,0,0,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,0,0,13,253,13,252,0,0,*         
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*         ,*              ,*         ,*              ,0,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99322,105,255,77,"5,889",83,"2,911",55,82,32,47,29,14,14,14,21,93,0,0,0,0,20,"1,647",296,14,"1,328",61,19,"1,609",41,0,0,88,651,87,644,*         ,*              ,71
"Under $10,000        ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,*         ,*              ,*              ,0,0,0,0,0,0,0,0,0,0,0,*         
"$10,000 under $25,000",26,47,9,329,18,186,16,6,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,11,6,13,12,*         ,*              ,16
"$25,000 under $50,000",29,82,35,"1,117",25,938,*         ,*              ,*         ,*              ,19,7,14,14,21,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,71,24,65,0,0,17
"$50,000 under $75,000",37,96,27,"2,491",26,"1,052",28,23,21,24,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,20,"1,647",296,14,"1,328",61,19,"1,609",41,0,0,37,246,37,235,0,0,27
"$75,000 under $100,000",*         ,*         ,*         ,*              ,14,735,*         ,*              ,11,23,10,7,*         ,*              ,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,*         ,*              ,*         ,*              ,0,0,*         
"$100,000 or more     ",13,30,6,"1,952",*         ,*              ,11,53,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,13,328,13,332,0,0,11
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99323,"1,529","3,566","1,219","71,403","1,342","58,955",773,"1,194",246,423,226,"1,216",210,934,47,-285,32,124,*         ,*              ,498,"35,976","8,224",408,"30,945","1,147",499,"35,315","2,007",10,16,"1,227","7,263","1,162","6,847",171,296,815
"Under $10,000        ",262,355,67,641,218,"1,104",66,74,19,11,19,-26,32,25,*         ,*              ,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,12,-419,20,0,0,55,8,75,28,57,66,111
"$10,000 under $25,000",301,543,161,"5,098",244,"3,763",103,138,30,53,28,14,33,211,18,-277,*         ,*              ,0,0,46,778,696,29,540,46,38,723,81,0,0,216,169,199,188,75,185,169
"$25,000 under $50,000",360,881,345,"13,335",315,"10,917",159,286,48,61,37,104,43,215,*         ,*              ,12,33,0,0,106,"4,086","1,405",80,"3,093",166,105,"4,040",279,0,0,350,908,295,816,39,45,190
"$50,000 under $75,000",295,840,309,"18,484",272,"15,564",189,210,57,74,53,139,47,130,14,-5,10,42,0,0,142,"8,951","2,209",117,"7,348",285,141,"8,900",540,10,16,295,"1,670",282,"1,490",0,0,167
"$75,000 under $100,000",188,595,227,"16,184",177,"13,713",147,165,41,59,41,227,33,247,15,-3,10,49,0,0,114,"9,850","1,967",98,"8,483",302,113,"9,760",503,0,0,188,"1,705",188,"1,608",0,0,103
"$100,000 or more     ",123,352,110,"17,661",116,"13,894",109,321,51,165,48,758,22,106,*         ,*              ,*         ,*              ,*         ,*              ,90,"12,311","1,947",84,"11,481",348,90,"12,311",584,*         ,*              ,123,"2,803",123,"2,717",0,0,75
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99324,"3,403","6,805","1,944","123,856","2,782","89,914","1,620","2,895",564,"1,290",519,"6,560",533,"5,657",14,-1,68,230,13,167,"1,014","66,961","18,904",918,"62,566","6,527","1,013","65,293","3,608",17,41,"2,495","11,264","2,339","11,068",504,878,"1,771"
"Under $10,000        ",814,"1,052",149,"2,879",661,"3,929",233,186,63,62,74,103,89,-392,*         ,*              ,0,0,0,0,40,233,493,30,195,61,54,-627,93,0,0,188,29,233,68,187,204,337
"$10,000 under $25,000",940,"1,656",472,"15,829",718,"11,156",362,556,115,164,100,200,97,598,14,-1,*         ,*              ,0,0,138,"2,388","1,808",116,"2,003",465,135,"2,323",296,0,0,687,482,595,509,241,595,534
"$25,000 under $50,000",792,"1,739",550,"28,691",673,"22,106",390,623,128,282,114,211,135,770,*         ,*              ,35,129,0,0,261,"9,842","3,905",236,"8,918","1,165",256,"9,654",718,0,0,765,"1,877",674,"1,808",76,79,446
"$50,000 under $75,000",463,"1,212",382,"28,276",405,"21,857",320,530,115,260,97,394,105,790,0,0,22,57,0,0,263,"16,237","4,717",240,"14,835","1,546",258,"15,934",877,0,0,462,"2,430",447,"2,319",0,0,242
"$75,000 under $100,000",222,660,232,"19,265",197,"15,100",167,397,62,231,56,535,57,631,*         ,*              ,*         ,*              ,0,0,171,"14,923","3,474",160,"13,945","1,194",170,"14,833",670,*         ,*              ,221,"1,913",218,"1,852",0,0,107
"$100,000 or more     ",172,486,159,"28,916",128,"15,766",148,603,81,291,78,"5,117",50,"3,260",0,0,11,44,13,167,141,"23,338","4,507",136,"22,670","2,096",140,"23,176",954,17,41,172,"4,533",172,"4,512",0,0,105
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99326,"1,131","2,956","1,249","39,995","1,000","32,745",419,514,193,418,176,"1,258",126,479,54,248,20,55,*         ,*              ,158,"11,598","2,499",128,"9,554",740,156,"11,364",448,0,0,870,"3,673",752,"3,517",188,331,719
"Under $10,000        ",192,295,76,"-3,924",160,960,48,33,25,23,23,190,20,47,11,-200,0,0,0,0,0,0,0,10,147,19,*         ,*              ,*              ,0,0,47,10,62,21,55,66,106
"$10,000 under $25,000",275,661,309,"4,750",230,"3,861",62,112,31,56,31,81,16,98,*         ,*              ,*         ,*              ,0,0,13,227,193,*         ,*              ,*              ,14,106,19,0,0,175,126,132,142,72,203,180
"$25,000 under $50,000",366,"1,058",493,"12,966",338,"11,157",111,85,45,47,41,54,45,226,20,211,*         ,*              ,*         ,*              ,42,"1,570",530,33,"1,225",88,40,"1,508",86,0,0,351,801,268,719,61,62,253
"$50,000 under $75,000",181,588,244,"11,027",171,"9,459",103,75,42,86,33,198,27,89,13,161,20,55,0,0,50,"3,101",684,36,"2,213",169,49,"3,050",153,0,0,181,951,174,820,0,0,102
"$75,000 under $100,000",75,240,93,"6,413",69,"5,039",57,57,24,17,22,224,18,19,10,76,*         ,*              ,0,0,28,"2,403",432,27,"2,319",109,28,"2,403",97,0,0,75,692,75,620,0,0,42
"$100,000 or more     ",42,114,34,"8,763",32,"2,269",38,152,26,189,26,511,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,25,"4,297",660,22,"3,650",355,25,"4,297",93,0,0,41,"1,093",41,"1,195",0,0,36
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99328,"1,559","3,159",862,"56,690","1,248","39,401",760,"1,668",361,"1,111",360,"3,892",242,"2,253",137,"-1,355",57,184,*         ,*              ,307,"19,504","5,184",240,"15,994",759,304,"18,055","1,064",*         ,*              ,"1,174","5,312","1,139","5,455",268,442,863
"Under $10,000        ",325,460,77,-764,233,"1,383",111,132,57,172,65,260,41,-54,27,-701,*         ,*              ,0,0,16,60,276,11,44,9,24,-946,57,0,0,60,8,96,43,99,96,166
"$10,000 under $25,000",415,721,210,"6,986",319,"4,844",153,288,62,92,61,76,45,281,13,-84,13,25,0,0,40,687,547,24,405,37,36,625,64,0,0,306,233,280,257,128,306,206
"$25,000 under $50,000",394,904,283,"14,342",336,"10,972",192,317,81,163,73,297,72,424,27,-333,20,70,*         ,*              ,73,"2,823","1,106",59,"2,292",123,70,"2,699",175,0,0,384,936,344,908,41,40,220
"$50,000 under $75,000",238,592,164,"14,512",202,"10,233",147,341,70,176,72,722,44,578,36,-63,24,89,*         ,*              ,77,"4,831","1,296",62,"3,944",217,74,"4,655",261,0,0,238,"1,327",234,"1,329",0,0,143
"$75,000 under $100,000",112,302,90,"9,574",96,"6,821",89,177,49,104,47,773,20,237,18,-78,*         ,*              ,0,0,60,"5,186","1,053",48,"4,123",225,59,"5,105",219,0,0,111,"1,000",110,"1,002",0,0,73
"$100,000 or more     ",75,180,38,"12,040",62,"5,148",68,413,42,404,42,"1,764",20,787,16,-96,*         ,*              ,*         ,*              ,41,"5,917",906,36,"5,186",148,41,"5,917",288,*         ,*              ,75,"1,808",75,"1,916",0,0,55
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99329,125,288,90,"4,754",105,"4,034",49,7,14,4,13,-2,17,62,*         ,*              ,0,0,0,0,36,"2,480",551,24,"1,590",34,37,"2,489",123,0,0,98,391,90,388,14,21,76
"Under $10,000        ",24,32,4,87,17,90,14,4,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*         ,*              ,*              ,0,0,*         ,*              ,*         ,*              ,*         ,*              ,13
"$10,000 under $25,000",27,49,14,442,22,346,*         ,*              ,*         ,*              ,13,-2,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0,*         ,*              ,*              ,0,0,0,0,0,24,12,21,17,14,21,20
"$25,000 under $50,000",39,99,31,"1,465",33,"1,170",25,3,14,4,*         ,*              ,17,62,*         ,*              ,0,0,0,0,12,445,137,14,548,16,13,454,32,0,0,39,88,35,90,*         ,*              ,24
"$50,000 under $75,000",18,50,17,"1,073",17,936,*         ,*              ,0,0,*         ,*              ,*         ,*              ,0,0,0,0,0,0,10,597,146,*         ,*              ,*              ,10,597,37,0,0,18,97,17,94,0,0,19
"$75,000 under $100,000",17,58,24,"1,687",16,"1,492",10,0,*         ,*              ,0,0,0,0,0,0,0,0,0,0,14,"1,438",268,10,"1,042",18,14,"1,438",54,0,0,17,194,17,187,0,0,*         
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,*         ,*              ,*         ,*              ,0,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
99330,487,"1,491",738,"16,114",431,"12,569",187,463,52,38,55,101,33,181,45,16,*         ,*              ,0,0,71,"4,522","1,078",57,"3,743",202,72,"4,492",208,0,0,316,"1,208",244,"1,137",83,181,350
"Under $10,000        ",74,136,46,264,61,404,23,19,15,10,13,21,16,60,*         ,*              ,0,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,0,0,*         ,*              ,16,14,26,46,56
"$10,000 under $25,000",173,499,254,"2,992",154,"2,634",38,30,*         ,*              ,*         ,*              ,*         ,*              ,27,-96,*         ,*              ,0,0,10,165,152,*         ,*              ,*              ,12,162,14,0,0,94,46,64,55,42,115,114
"$25,000 under $50,000",142,543,305,"4,819",132,"4,295",56,69,20,11,10,13,17,121,*         ,*              ,*         ,*              ,0,0,19,693,226,23,630,94,18,666,40,0,0,124,218,73,177,15,20,110
"$50,000 under $75,000",58,194,90,"3,559",54,"2,937",35,19,*         ,*              ,16,16,*         ,*              ,18,112,*         ,*              ,0,0,23,"1,429",368,17,"1,063",68,23,"1,429",74,0,0,58,307,51,263,0,0,43
"$75,000 under $100,000",25,74,27,"2,128",20,"1,357",21,52,17,17,16,51,*         ,*              ,*         ,*              ,0,0,0,0,19,"2,235",332,17,"2,050",40,19,"2,235",80,0,0,25,228,25,219,0,0,17
"$100,000 or more     ",15,45,16,"2,352",10,942,14,274,*         ,*              ,*         ,*              ,0,0,*         ,*              ,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,15,409,15,409,0,0,10
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
