Total,"2,860,825","5,865,799","1,794,371","166,580,039","2,412,365","114,046,697","1,368,475","3,528,026","748,124","3,862,773","651,545","14,886,748","403,776","5,996,877","23,232","-157,511","73,677","264,541","27,138","415,068","1,067,582","109,369,624","22,529,755","899,373","98,569,012","3,435,488","1,063,234","107,890,387","5,925,136","47,972","187,582","2,337,779","22,076,820","2,234,434","22,075,876","346,390","585,289","1,422,842"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98006,"17,030","37,267","11,508","2,168,876","13,601","1,292,752","11,921","54,850","9,102","72,818","8,104","367,929","2,999","75,769",21,-113,605,"2,588",524,"9,697","8,928","1,757,180","248,954","8,049","1,674,435","42,402","8,914","1,732,990","71,375",933,"3,719","14,403","415,879","14,326","419,687",715,"1,019","7,723"
"Under $10,000        ","2,937","3,508",316,"-13,300","1,914","11,068","1,312","1,632","1,126","1,384",981,792,279,657,0,0,18,58,*         ,*              ,128,713,"2,592",73,424,73,207,"-18,132","1,177",*         ,*              ,945,164,"1,117",439,315,260,"1,167"
"$10,000 under $25,000","2,077","3,085",620,"35,550","1,480","23,971","1,003","1,870",629,"1,538",512,769,311,"2,901",0,0,48,134,*         ,*              ,408,"7,245","7,035",278,"4,981",556,382,"6,809","1,425",0,0,"1,614","1,453","1,560","1,792",261,611,874
"$25,000 under $50,000","2,668","4,588","1,140","98,094","2,133","72,269","1,454","3,098",908,"2,720",782,"1,909",423,"5,391",0,0,98,348,30,159,"1,014","38,778","17,707",816,"31,581","1,686",988,"37,876","3,948",0,0,"2,533","7,370","2,405","7,656",139,148,"1,138"
"$50,000 under $75,000","1,993","4,346","1,299","123,808","1,596","87,144","1,480","3,145",976,"3,865",847,"3,320",358,"6,597",*         ,*              ,94,400,45,416,"1,221","76,553","24,157","1,055","66,179","2,747","1,198","75,144","5,742",*         ,*              ,"1,972","11,824","1,916","11,920",0,0,923
"$75,000 under $100,000","1,893","4,898","1,634","165,179","1,595","121,884","1,566","4,092","1,147","3,795",989,"3,774",375,"7,494",*         ,*              ,107,451,58,480,"1,397","122,481","31,110","1,277","112,094","3,818","1,389","121,793","7,775",23,30,"1,884","18,035","1,874","17,947",0,0,814
"$100,000 or more     ","5,462","16,842","6,499","1,759,545","4,883","976,416","5,106","41,013","4,316","59,516","3,993","357,365","1,253","52,729",21,-113,240,"1,197",391,"8,642","4,760","1,511,410","166,353","4,550","1,459,176","33,522","4,750","1,509,500","51,308",910,"3,689","5,455","377,033","5,454","379,933",0,0,"2,807"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98007,"11,235","20,840","5,609","635,967","9,734","470,106","5,372","11,462","3,286","13,317","2,822","31,294","1,317","19,931",*         ,*              ,322,"1,249",86,"1,779","3,306","332,617","62,415","2,637","295,619","9,587","3,279","325,738","15,168",139,580,"9,456","90,984","9,149","91,170","1,014","1,561","4,880"
"Under $10,000        ","1,689","2,208",355,"3,663","1,296","7,527",474,526,295,366,271,165,207,364,0,0,*         ,*              ,0,0,100,557,"1,164",48,278,51,136,"-2,644",409,0,0,415,71,562,220,410,384,704
"$10,000 under $25,000","2,348","3,814","1,066","41,131","2,006","34,012",646,990,303,681,257,162,241,"1,963",0,0,49,140,0,0,325,"5,826","3,811",192,"3,389",302,316,"5,658",790,0,0,"1,905","1,781","1,741","1,909",419,"1,000","1,088"
"$25,000 under $50,000","2,991","5,552","1,670","108,773","2,690","93,795","1,177","1,375",549,"1,305",447,594,305,"3,070",0,0,94,349,10,77,729,"27,520","10,227",526,"19,974",961,706,"26,676","2,022",0,0,"2,935","8,782","2,664","8,453",185,177,"1,329"
"$50,000 under $75,000","1,735","3,406",866,"106,593","1,531","88,582","1,015","1,613",558,"1,445",463,"1,140",205,"2,979",0,0,61,232,17,189,704,"43,434","11,286",569,"35,154","1,191",688,"42,385","2,407",10,4,"1,732","11,980","1,715","11,753",0,0,734
"$75,000 under $100,000","1,152","2,414",569,"98,963","1,042","82,696",875,"1,674",624,"1,663",516,"2,099",145,"2,313",*         ,*              ,41,166,11,122,515,"44,470","9,691",440,"38,122","1,409",508,"43,866","2,123",*         ,*              ,"1,150","12,868","1,149","12,732",0,0,418
"$100,000 or more     ","1,320","3,446","1,083","276,844","1,169","163,494","1,185","5,284",957,"7,857",868,"27,134",214,"9,242",*         ,*              ,77,362,48,"1,391",933,"210,810","26,236",862,"198,702","5,673",925,"209,797","7,417",129,576,"1,319","55,502","1,318","56,103",0,0,607
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98008,"11,308","22,816","6,189","912,864","9,109","621,651","7,163","19,832","5,089","24,746","4,433","71,541","1,834","31,973",*         ,*              ,375,"1,495",172,"2,396","5,247","656,455","127,899","4,599","603,202","18,682","5,258","649,196","31,086",328,"1,376","9,582","140,960","9,458","142,288",687,992,"5,156"
"Under $10,000        ","1,616","2,047",260,"2,210","1,135","6,693",609,732,408,721,367,291,215,16,0,0,*         ,*              ,*         ,*              ,96,597,"1,722",54,350,60,158,"-3,189",588,0,0,382,63,525,270,303,277,674
"$10,000 under $25,000","1,747","2,676",603,"30,381","1,303","21,841",688,"1,235",408,"1,020",320,208,224,"2,008",*         ,*              ,43,120,*         ,*              ,314,"5,623","5,048",233,"4,206",388,303,"5,442",910,0,0,"1,367","1,220","1,295","1,404",264,600,798
"$25,000 under $50,000","2,278","4,171","1,170","83,412","1,878","63,836","1,148","1,763",675,"1,723",569,684,317,"3,528",*         ,*              ,88,309,18,81,742,"28,229","13,131",590,"22,525","1,018",727,"27,691","2,584",0,0,"2,189","6,245","2,036","6,277",120,115,"1,036"
"$50,000 under $75,000","1,614","3,419",941,"100,559","1,271","70,871","1,153","2,582",741,"2,298",621,"1,651",262,"3,508",0,0,65,255,16,87,922,"57,962","17,461",812,"51,181","1,849",914,"57,481","3,981",*         ,*              ,"1,601","10,035","1,571","9,875",0,0,732
"$75,000 under $100,000","1,399","3,333",936,"121,340","1,160","89,003","1,171","2,168",849,"2,392",735,"2,311",285,"4,625",0,0,63,244,27,258,998,"86,818","21,218",895,"77,843","2,746",991,"86,215","4,940",15,11,"1,393","13,614","1,385","13,530",0,0,609
"$100,000 or more     ","2,654","7,170","2,279","574,962","2,362","369,407","2,394","11,352","2,008","16,592","1,821","66,396",531,"18,288",*         ,*              ,116,567,111,"1,970","2,175","477,226","69,319","2,015","447,097","12,621","2,165","475,556","18,083",313,"1,365","2,650","109,783","2,646","110,932",0,0,"1,307"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98009,840,"1,399",263,"354,184",599,"58,618",539,"18,606",403,"18,245",382,"138,911",196,"4,299",*         ,*              ,31,125,18,226,401,"288,396","34,998",349,"282,977","17,403",406,"335,729","6,245",64,753,714,"62,179",721,"62,497",40,44,466
"Under $10,000        ",113,147,19,"-1,185",62,841,47,77,38,94,37,57,30,160,0,0,*         ,*              ,0,0,*         ,*              ,*              ,*         ,*              ,*              ,17,-775,88,0,0,21,3,38,17,21,15,60
"$10,000 under $25,000",120,154,20,"2,162",86,"1,459",47,59,34,114,29,33,27,308,0,0,17,50,0,0,37,565,804,24,390,31,27,506,82,0,0,103,94,96,172,19,29,55
"$25,000 under $50,000",184,266,49,"6,696",146,"4,899",95,176,58,264,50,296,39,588,0,0,*         ,*              ,0,0,58,"2,180","1,041",52,"1,972",118,57,"2,135",252,0,0,175,559,174,649,*         ,*              ,82
"$50,000 under $75,000",108,181,36,"6,568",78,"4,430",71,375,50,371,49,226,19,73,0,0,*         ,*              ,0,0,52,"3,211","1,149",43,"2,676",155,51,"3,154",325,0,0,104,701,103,707,0,0,57
"$75,000 under $100,000",83,162,36,"7,092",65,"4,852",62,220,46,279,43,135,18,516,0,0,0,0,*         ,*              ,54,"4,622","1,229",47,"4,030",106,53,"4,547",291,*         ,*              ,82,872,82,933,0,0,42
"$100,000 or more     ",232,489,103,"332,851",162,"42,137",217,"17,699",177,"17,123",174,"138,164",63,"2,654",*         ,*              ,14,75,18,226,200,"277,818","30,775",183,"273,909","16,993",201,"326,162","5,207",64,753,229,"59,950",228,"60,019",0,0,170
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
